username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Nurgle☀️,3545206216,Kent,2023-01-24 16:28:44,@AceThaGreatest @SuperBadSeries @FlareNetworks @HugoPhilion Appreciate the kind words bud :) ❤️ always pushing forw… https://t.co/NbuJU7mqHB,0,Twitter for iPhone,
KentOnline,31101301,Kent,2023-01-24 16:15:03,"""Her death is a huge loss to the community...""  https://t.co/IcWbiMEvIy",0,Buffer,
Dynamic Coaching UK,228729535,London & Kent,2023-01-24 16:14:02,"If you are aged 14-18 and live in #Bromley, why not come along to our FREE sports club at Turpington Lane Community… https://t.co/Rvpn75IuYp",0,Buffer,
Kent Community Foundation,325441293,Kent,2023-01-24 15:07:50,.@Kent_cc is proposing changes to the way buildings are used in the delivery of community services and is inviting… https://t.co/M5NDQVgeOD,0,Twitter Web App,
Dynamic Coaching UK,228729535,London & Kent,2023-01-24 13:00:23,"Dynamic Coaching 🟰 Diversity and Inclusion in Action ✅

We provide education and personal development services to t… https://t.co/KrLeqqJhsJ",0,Buffer,
C&T Auctioneers,1907864808,Kent,2023-01-24 12:52:02,"Our next valuation day is happening tomorrow, 25th January, at the Whistable Umbrella Community Centre ☂️from 1pm t… https://t.co/wA1aLerKQ5",1,Buffer,
Fuller and Thomas Construction Ltd,1310535334489395200,Kent,2023-01-24 12:50:22,It's that time of year again!!!! Giving back to the community!! #fullerandthomas #loveconstruction #diggingtheroad… https://t.co/IcKhxpP07P,0,Twitter for Android,
Knowledge Exchange and Innovation,46616958,Kent,2023-01-24 11:10:42,"Happy #InternationalDayofEducation!

To celebrate, here are some snaps of Kent's business community learning from o… https://t.co/lsWEWG3Lgo",1,Twitter Web App,
A Better Medway,352948995,"Medway, Kent",2023-01-24 10:12:24,"Congratulations to our latest group of residents to volunteer as A Better Medway Champions! 👏

Champions play an im… https://t.co/wgkpzbi6g1",2,Orlo,
West Kent Mind,59079679,West Kent,2023-01-24 10:01:38,"Kindly funded by @SevenoaksTP, we're running some FREE Mental Health Awareness Workshops for the #Sevenoaks town co… https://t.co/NRHWAzF6tn",4,Hootsuite Inc.,
Medway Urban Greenspaces Forum,1369207765290385411,"Medway, Kent",2023-01-24 10:00:35,"Coming up on Thursday 2nd February  #Volunteer Day at Hillyfields Community Park, 10am-2pm, lend a hand clearing ve… https://t.co/36Pu8qqu2R",1,Buffer,
Carol Davis Moody MBE,1008875521,kent,2023-01-24 08:10:41,"The FosterWiki is a community project, membership is currently free and will allow you to contribute to the Wiki pa… https://t.co/Bxpxh4b8S0",0,Twitter for iPhone,
Martin Guyton 💙,194275029,Kent,2023-01-24 07:43:54,@grobykid @AndyJReed_OBE All in favour of promoting alternative forms of exercise to the gym but the sector does ne… https://t.co/Hxb215zh3S,0,Twitter for iPhone,
City of Auburn (WA),18273186,"Auburn, Washington",2023-01-24 02:03:04,"Mayor Backus is proud to declare January Tamil Heritage Month, recognizing the around 9,000 Tamilians residing in W… https://t.co/RzDQ2lMANF",2,Twitter Web App,
Joe Rixman,1298739028062175234,"Kent, WA",2023-01-24 00:58:49,"@luke_tarzian 2023 hasn't been all that kind, either. What say we work together to make this community a better pla… https://t.co/cq2XkOaORC",0,Twitter Web App,
South King County Fire Dispatches,1390435821212213248,King County WA,2023-01-23 23:54:50,"🚑
DISPATCH: Medical Aid - Basic Life Support @ CATHOLIC COMMUNITY, 1229 W SMITH ST, KENT.

Responding Dept: Kent
Un… https://t.co/zSmGIgEy3S",0,SKCDispatch,"{'type': 'Point', 'coordinates': [-122.24924924, 47.38328615]}"
South King County Fire Dispatches,1390435821212213248,King County WA,2023-01-23 23:44:41,"🚑
DISPATCH: Medical Aid - Basic Life Support @ CATHOLIC COMMUNITY, 1229 W SMITH ST, KENT.

Responding Dept: Kent
Un… https://t.co/pecDvcZEj9",0,SKCDispatch,"{'type': 'Point', 'coordinates': [-122.24924924, 47.38328615]}"
✨peony✨,716837774784131074,"Kent, WA",2023-01-23 22:38:18,like yes her review of synthv itself is reasonable. her ai art take..... dreamtonics research ur people before send… https://t.co/MFYhts22OA,1,Twitter for Android,
✨peony✨,716837774784131074,"Kent, WA",2023-01-23 22:34:40,genuinely kind of funny how the whole vsynth community rallied up to clarify the difference between specifically sy… https://t.co/l4p8HqHgcT,1,Twitter for Android,
City of Auburn (WA),18273186,"Auburn, Washington",2023-01-23 21:51:23,Know what's extremely uncool? Cutting down and stealing a beautiful bronze statue that greeted all visitors to the… https://t.co/9ow9LDmY0e,69,Meltwater Social,
South King County Fire Dispatches,1390435821212213248,King County WA,2023-01-23 21:12:06,"🚑 
DISPATCH: Medical Aid - Service @ CATHOLIC COMMUNITY, 1229 W SMITH ST, KENT.

Responding Dept: Kent
Unit(s): A371
#PugetSoundFire #Kent",0,SKCDispatch,"{'type': 'Point', 'coordinates': [-122.24924924, 47.38328615]}"
Dominic Mark Ashman,29700512,Kent,2023-01-23 20:55:14,@josephcoward @IdentEveryHour @xfm_community Maybe this is why he was struck off,0,Twitter Web App,
Rico Suave Jr. 📸,2920121659,"Kent, WA",2023-01-23 20:00:36,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/w66NkC9HHa",0,Twittascope,
♡ mia lily ♡,636506221,Kent,2023-01-23 17:00:46,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/gCvLxLFpLA",0,Twittascope,
Auburn WA Police Dept,748254696633098240,"Auburn, WA",2023-01-23 16:07:38,"The Auburn Police Department’s Special Investigations Unit (SIU) had a very busy 2022.

Here is what they did to ma… https://t.co/KjBlBmlINx",9,Twitter for iPhone,
Makaveli,586065875,kent,2023-01-23 16:00:38,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/6S3I1tknKK",0,Twittascope,
North Kent College,119003929,Kent,2023-01-23 15:46:01,Policing Level 3 student Lewis Gilbert is the first of the force’s cadets to be honoured in this way and joins youn… https://t.co/jm8EELjCtn,1,Buffer,
wendy norman,20617323,kent,2023-01-23 15:32:49,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/UxxO3mbVto",0,Twittascope,
George,610389822,Kent,2023-01-23 15:32:29,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/oN82TYW2FN",0,Twittascope,
Paul Raymond #GTTO,284600892,Kent,2023-01-23 14:30:51,"@Helen07101981 @IndiaWilloughby Exactly. If any other group was treated like this, the spreaders of such hatred wou… https://t.co/Amxwni198n",0,Twitter Web App,
Scapegoat_Ste,2248266721,Kent,2023-01-23 14:25:47,I have decided in honour of the current flap the 'Community' is in I shall name him Rogal Dawg in honour of this da… https://t.co/BrmTg8zzB1,2,Twitter for Android,
wildman92ttv,401484269,kent,2023-01-23 14:06:32,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/xQXoVvT48v",0,Twittascope,
Shanndaile wailehuaღ,193140715,"Auburn, WA",2023-01-23 14:04:39,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/DUI9AXHdax",0,Twittascope,
Cearon O'Flynn,254634455,Kent,2023-01-23 12:37:33,@jamesoflynn @WakelandH35 @calvinrobinson Exactly. But without even leaving the school setting there’s plenty of pe… https://t.co/0Ck4AacP1x,0,Twitter for iPhone,
BBC Radio Kent,78588073,Kent,2023-01-23 12:12:02,"Celebrate the heroes in your community.

Nominations are open now for the 2023 BBC Radio Kent Make a Difference Awa… https://t.co/XbJG0OuaeN",1,SocialFlow,
Kent Community Foundation,325441293,Kent,2023-01-23 12:11:50,"🚨New £1m Fund open!
The Charles Burnett III Memorial Fund is open to small charities &amp; community groups working wit… https://t.co/YcKt7T2bSs",0,Twitter Web App,
❤️JEN JEN X❤️,102479524,Kent,2023-01-23 12:01:21,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/JG5YaUlpnj",0,Twittascope,
Taylor S Moore,288507169,"Kent, WA",2023-01-23 11:32:10,"Your day could start in isolation, but end in community and ca... More for Aries https://t.co/Xo4HupqVLT",0,Twittascope,
Biggin Hill Safer Neighbourhood Team,3223943387,"Biggin Hill, Kent",2023-01-23 10:45:08,"Responding to residents concerns. Your local policing team, together with members of the community carried out a sp… https://t.co/6MKJb6d9CX",4,Twitter Web App,
Graham Cunnington,2301760263,"Welling, Kent",2023-01-23 09:24:19,"With grateful thanks to funding from the William Kendall Trust, Wellspring Community Cafe has now expanded with new… https://t.co/fxUA7yB4WL",0,Twitter for iPhone,
Stephanie Abbitt,906700830,kent ,2023-01-23 06:11:51,@ThePokemangoes Not a single shiny. I can't go outside every community day sadly as my autistic son doesn't want to… https://t.co/mkMsJLGqxM,0,Twitter for Android,
KFG Motorsports,39864950,"Auburn, WA",2023-01-23 03:23:02,Said news for the motorsports community. Does anyone know what happened? Why the county didn’t see the value in ren… https://t.co/GRKTqAV7jR,0,Instagram,
City of Kent,62566884,"Kent, Washington USA",2023-01-22 22:57:05,"In 2022, Human Services distributed funding to 11 new community programs, empowering local non-profits to expand th… https://t.co/GWoa1kiW1c",2,Sprout Social,
Josh Nelson,2842156971,North west Kent,2023-01-22 21:34:24,"@eekymom The twitter ‘medical community’ are frequently just barely hidden pharma reps, so it’s not surprising you… https://t.co/PtnuqxQfDz",0,Twitter for iPhone,
B2B Kent,2795835840,Kent,2023-01-22 19:00:37,"Why post-pandemic the entire business community needs to reevaluate what’s important

A #BBunker Blog by Ross Feene… https://t.co/boS838WzUg",0,The Social Jukebox,
CR Arts,3294015425,Kent,2023-01-22 17:23:25,You can listen live to all our Talk business community &amp; special interest shows here ==&gt;&gt; https://t.co/WtkpMsd91Y https://t.co/pstWa1VNeJ,0,The Social Jukebox,
Margery the Munificent,865892726,"Maple Valley, WA",2023-01-22 17:22:51,@ananavarro I adore this community for so many reasons.,0,Twitter for iPhone,
Trix Da Gnome #TeamCT 🏳️‍🌈,29043468,"Kent, WA",2023-01-22 16:20:40,"@MissouriMule2 @SDECoxHealth If you only read what the media wants you to know, you’re doing yourself a disservice.… https://t.co/mEom8rGlEe",0,Twitter for iPhone,
Sam Harris,23177778,"Auburn, WA",2023-01-22 15:43:33,@MattSmethurst Or a community of beleivers!  Doesnt have to be in a traditional weekly service.  Being part of the… https://t.co/aDMHbQ4alV,0,Twitter for iPhone,
Robin Murray,2764728352,Kent,2023-01-22 13:10:10,@nadhimzahawi I suppose people will be prosperous in the New Year if they avoid paying their taxes like you. Perhap… https://t.co/RzrJVqO4xm,0,Twitter for iPhone,
Jacqueline Mercer,23576532,"Sidcup, Kent",2023-01-22 10:06:26,@kirsty88p26 @HP_Community @heatherpeace Parking is not great. I’m coming from London. I’m lucky I have a mate that… https://t.co/tRFe2bYext,0,Twitter for iPhone,
Mike not a Rapper tho,58412791,"Auburn, WA",2023-01-21 20:22:32,It’s Larvitar redo community day. I have had breakfast and my rechargeable batteries are full. Couple more errands… https://t.co/kIEF2Aao2b,0,Twitter for iPhone,
Ian Furness,168937107,Seattle,2023-01-21 16:35:54,Many can call a game. Few can become a legendary voice of the game and community. In Seattle that was Dave Niehaus.… https://t.co/P6ipETryD0,16,Twitter for iPhone,
Save Nature Photography 🌱💚🌱,241936422,London & Kent,2023-01-21 15:21:58,@dave43law How about we sell off the Tory party? They belong in business only now and not community government.,0,Twitter for iPhone,
B2B Kent,2795835840,Kent,2023-01-21 13:00:25,"Tune in to Kent's leading Internet Radio station Channel Radio , https://t.co/s8EG56KM8S for all your music enterta… https://t.co/IffjH9xiNY",0,The Social Jukebox,
CR Arts,3294015425,Kent,2023-01-21 12:57:20,"Is co-working right for you ? Join the co-working, hot desking community, In Canterbury and coming soon  in Tenterd… https://t.co/Z74pH6MRIv",0,The Social Jukebox,
Marian Christie,1228219651,Kent,2023-01-21 08:28:30,@Linsey_Dyer The Scrabblegram community is the best thing on Twitter!,0,Twitter Web App,
GreenRiver MensBBall,856260394905735169,"Auburn, WA",2023-01-21 08:08:16,"We don’t own the rights to this music 🎶 
IT’S GAMEDAY.
🆚 Grays Harbor Community College 
🕠 4:00 PM Pacific
📍 Grays… https://t.co/SONRk2pYLh",1,Twitter for iPhone,
✨peony✨,716837774784131074,"Kent, WA",2023-01-21 05:57:49,finished the stardew community center :&gt;,0,Twitter for Android,
Advisory Circular SEA-TAC,1472731325308096512,"Seattle, WA",2023-01-21 01:34:02,"N531ND, a Cessna 172-S, is circling over King County at 1375 feet, speed 89 MPH, squawking 1200, 0.3 miles from Sol… https://t.co/dxHLbo3mWG",0,SkyCirclesLA,"{'type': 'Point', 'coordinates': [-122.10204681, 47.37768476]}"
larry kalchik,866860364138401792,"Kent, WA",2023-01-21 01:04:22,"@San_miller23 Was just talking to a coworker on this subject. A strong family, makes a strong community and in turn… https://t.co/oeRITicMII",0,Twitter for iPhone,
South King County Fire Dispatches,1390435821212213248,King County WA,2023-01-20 23:02:26,"🚑
DISPATCH: Medical Aid - Basic Life Support @ GREEN RIVER COMMUNITY COLLEGE #IVB, 12401 SE 320TH ST #IVB, AUBURN.… https://t.co/JeQohx04Ia",0,SKCDispatch,"{'type': 'Point', 'coordinates': [-122.2301808, 47.3075369]}"
City of Kent,62566884,"Kent, Washington USA",2023-01-20 21:30:09,"In 2022, we completed our pilot Community Immersion Law Enforcement Program.

It integrates new police recruits wit… https://t.co/EJnSXQfNL6",1,Sprout Social,
zinorigins,775408080003690496,Kent,2023-01-20 20:11:25,"@RogerDX @eddiep213 @FightHaven Well obviously there are far more straight people then gay people, if the numbers w… https://t.co/n7Tu1v0aQB",0,Twitter for Android,
Children's Therapy,246646928,"Kent, WA",2023-01-20 20:00:29,"NEXT MONDAY at 12pm
Tune in for the first episode of our Facebook Live Series: Coffee Conversations

Our first gues… https://t.co/89LjXYLUBG",0,Hootsuite Inc.,
Tom Tugendhat,2173779986,Kent,2023-01-20 19:47:05,With the great @tracey_crouch and @TMBCToryGroup in Kings Hill getting ready for the May Local Elections.… https://t.co/Cu4eWinjI9,7,Twitter for iPhone,
Chris Vinson,260334904,Kent,2023-01-20 18:42:22,"So sad to read this news. 31 is just no age at all.

Cameron was deeply committed to his community and the causes h… https://t.co/lz7VzVjCW3",0,Twitter for iPhone,
City of Auburn (WA),18273186,"Auburn, Washington",2023-01-20 18:28:16,"If you've been, you know what we mean -- Community Court graduations don't feel like a case dismissal. And that's t… https://t.co/NUqsnDpqwl",1,Meltwater Social,
Puts The 'Daddy' in Daddy Immaru 🎵🎮🎲🏳️‍🌈,382492327,"Auburn, WA",2023-01-20 18:22:11,"@erica_slayer @LoveAltCoins Yes, and The Laramie Project was created out of that tragedy.

If you're gonna nitpick… https://t.co/Ttf708Ac8L",0,Twitter Web App,
Matt Talboys,75320215,Surrey/Kent,2023-01-20 18:14:57,Has anyone got any links to footage of the experimental law change from the RFU in practice in the French community… https://t.co/8xS1EJYmgG,0,Twitter Web App,
Robin Murray,2764728352,Kent,2023-01-20 17:14:23,"@politicswatch15 @spectator This is just a hatchet job of a piece.

Right wing Conservative supporters are terrifie… https://t.co/0EAnxRsi2S",0,Twitter for iPhone,
