username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Dr Katerina Kolyva,2156890678,London and Kent ,2023-01-19 08:45:36,Research outcomes linked to local need and development of local community growth is important as it can help demons… https://t.co/N7CmWzq4Tp,0,Twitter for Android,
SocialEnterpriseKent,479367306,Kent,2023-01-19 08:01:38,"If you're struggling this winter, there's lots of support available for you. 
Click the link to see what help is av… https://t.co/nlEDgy3iLA",0,Hootsuite Inc.,
Robert Bob 3.5% Remainer.,1189841394480959488,Kent,2023-01-19 07:41:41,@SarahOwen_ @RhonddaBryant Is it the Church of England or other groups from the International  Anglican Communion t… https://t.co/eErrNmHYYv,0,Twitter for iPad,
patchmutha🤞🏽💕,1527660202803089409,"Auburn, WA",2023-01-19 02:43:22,I’m gonna always be a helping hand in my poly community. No matter what field of work I’m in. When it comes to my p… https://t.co/Gn4F7gVp5b,0,Twitter for iPhone,
Fully_Lou,147891187,kent,2023-01-18 20:48:16,"Nice 👩‍🍳 we have a sharing community in our town, and today I picked up this beaut. Baking is something fills me up… https://t.co/E7aaHyuwU0",0,Instagram,
Liz Smith. 💙,1098685083484147712,Kent,2023-01-18 19:19:14,@itsPipper Fab. It will get to the point that human won't want to leave as it will be a lovely little community...… https://t.co/fwb9F3b48R,0,Twitter for Android,
kmfm news,288993240,Kent,2023-01-18 18:50:00,NEWS: The 38 year-old repeatedly broke a community protection notice issued by police #kmfmnews https://t.co/3sUoAszJm4,0,Buffer,
Children's Therapy,246646928,"Kent, WA",2023-01-18 18:03:15,"SAVE THE DATE! JANUARY 23rd at Noon
Facebook Live Series: Coffee Conversations
In this series, we will have a varie… https://t.co/D5eC50880p",0,Hootsuite Inc.,
City of Kent,62566884,"Kent, Washington USA",2023-01-18 17:53:08,"🙌 At last night's council meeting, Conservation Coordinator Tony Donati recognized 2022 adopt a street/spot volunte… https://t.co/gtLbVdYThX",3,Sprout Social,
Alzheimer's and Dementia Support Services / ADSS,971906827,Kent,2023-01-18 17:02:45,"Thank you to the @MayorofDartford - Paul Cutler for coming to our Dartford Memory Cafe today.

He came to see first… https://t.co/9acXHpQ9O7",0,HeyOrca,
Kent Community Foundation,325441293,Kent,2023-01-18 15:58:18,"Today we joined @CVSMedway's 'Couch to Community' cookery class to make scones. 

The programme helps isolated or l… https://t.co/1WC0UdnapL",1,Twitter Web App,
hols 💜,396623591,Kent,2023-01-18 15:02:04,Tensions may be rising within your community. It could involve... More for Aquarius https://t.co/4MITS6iWgh,0,Twittascope,
KentSchoolGames,2180039858,Kent,2023-01-18 14:29:38,"🗣️Calling local clubs and community groups 🗣️

Don't miss your chance to apply for the Everyday Active small grant… https://t.co/FclfzRkcuu",0,Twitter Web App,
Renazuki,47158068,"Kent, Wa",2023-01-18 14:01:31,Tensions may be rising within your community. It could involve... More for Aquarius https://t.co/Rbxb10JekE,0,Twittascope,
Dynamic Coaching UK,228729535,London & Kent,2023-01-18 13:33:02,"Free Multi-sports Club this Thursday from 5-6pm for ages 14-18 at Turpington Community Centre, #Bromley

Receive a… https://t.co/fcA8T9N1FS",3,Buffer,
anthony luckhurst,257142741,kent,2023-01-18 13:00:03,Tensions may be rising within your community. It could involve... More for Aquarius https://t.co/72uttuHbUt,0,Twittascope,
Mark Everson 🇬🇧🇺🇦,143170819,Kent,2023-01-18 12:33:22,"@MrNickKnowles A project the community would get behind, and help out with, but how do you get that moving? Who do… https://t.co/5VspyDKF8Q",0,Twitter Web App,
Mark Everson 🇬🇧🇺🇦,143170819,Kent,2023-01-18 12:29:33,"@MrNickKnowles have you read about this? This seems right up your alley. Local community theatre group, offering fr… https://t.co/i2t22lr5Z2",0,Twitter Web App,
Mockford and Hunt,1309190857325764608,Kent,2023-01-18 12:06:53,Mockford &amp; Hunt · Community Clean Up - Nextdoor https://t.co/udXvmwDPCt Volunteers welcome! #ashfordcommunity… https://t.co/Xs5koOyca8,0,Twitter Web App,
GirlingsLawyers,2679645648,Kent,2023-01-18 12:02:20,"In 2022 our Wills, Tax &amp; Estates team helped raise £2360 for @PilgrimsHospice Make a Will month. 
The scheme gives… https://t.co/7mh3pXSdW8",1,Hootsuite Inc.,
KentSchoolGames,2180039858,Kent,2023-01-18 12:00:31,"The @YouthSportTrust Awards recognize the great work which is being done in schools and the local community, buildi… https://t.co/8lGM6wDK6L",2,Twitter Web App,
GreenRiver MensBBall,856260394905735169,"Auburn, WA",2023-01-18 08:17:37,"We don’t own the rights to this music 🎶 
IT’S GAMEDAY.
🆚 Tacoma Community College 
🕠 7:30 PM Pacific
📍 The Swamp 
📺… https://t.co/YifwW0DTDl",3,Twitter for iPhone,
dappy girl,66117311, Kent,2023-01-18 08:01:13,Tensions may be rising within your community. It could involve... More for Aquarius https://t.co/S5sQUY0SyQ,0,Twittascope,
Chris Hutchinson,464163519,Kent,2023-01-18 08:00:17,Tensions may be rising within your community. It could involve... More for Aquarius https://t.co/pJOpwI4o13,0,Twittascope,
BBC Radio Kent,78588073,Kent,2023-01-18 06:08:59,"“It's obvious there are LGBTQ people living on every street, in the whole of Kent.” Census data on sexuality and ge… https://t.co/mPkxqDuzd9",0,SocialFlow,
Van A. Hurst,19818314,"Kent, WA",2023-01-18 02:09:33,"3rd Edition of Countdown to Kickoff is rolling in this Saturday in the #DMV
@XFLDefenders in the community.… https://t.co/cIXCV2bxoL",1,Twitter for Android,
Jackson Wolf Pincus 🏳️‍🌈✡️,419817522,"Seattle, WA",2023-01-18 01:41:13,Thankful to have a Mayor who recognizes the myriad of threats to Jewish safety- ESPECIALLY in a city that leans as… https://t.co/dgO1rQVws4,0,Twitter for iPhone,
robyn,397907143,Kent ,2023-01-18 00:00:03,Tensions may be rising within your community. It could involve... More for Aquarius https://t.co/sTH4kIuTTB,0,Twittascope,
Dominic Mark Ashman,29700512,Kent,2023-01-17 23:19:28,"@xfm_community @Redtelephone84 Yeah, it was one of the first tv shows they ever did!",0,Twitter Web App,
Dominic Mark Ashman,29700512,Kent,2023-01-17 23:08:00,"@xfm_community @Redtelephone84 If you enjoy Big Train, you might also enjoy Bruiser, a sketch show from around the… https://t.co/YfmAGdMNUC",0,Twitter Web App,
Redline Bicycles,88956991,"Kent, WA",2023-01-17 23:01:23,DYK we have a network of awesome bike shops ready to help you grab your ride? Find them on our dealer locator.… https://t.co/Zi2S8FfwaM,1,Agorapulse app,
Basic~TaroSnow🧋Boba~Bitch,2169047492,"Auburn, WA",2023-01-17 22:16:55,@VermyFox Our community is growing fast. I know when I got involved in 2010 most people I talked to had no idea wha… https://t.co/BtBCCQ2Q09,0,Twitter for Android,
🇰🇭 MrVickTattoo,3306468746,"Renton, WA",2023-01-17 21:01:52,"Update;
They arrested the dude after overwhelming tips from the community. https://t.co/ANP7YvH8sF",0,Twitter for Android,
AMHS Booster,3254719849,"Auburn, WA",2023-01-17 20:11:00,Everyone welcome and expected to attend. We need everyone’s involvement to continue to successfully support our stu… https://t.co/mMXqvSCVEJ,0,Instagram,
